-- Seed: -6244207999796636337 --

Using: com.thesonofthom.tools.TimeFormatter tf = new com.thesonofthom.tools.TimeFormatter(java.util.concurrent.TimeUnit$1.NANOSECONDS, java.util.concurrent.TimeUnit$7.DAYS, false, false);
4 NANOSECONDS                   : 4ns
80 NANOSECONDS                  : 80ns
3920 NANOSECONDS                : 3us:920ns
117600 NANOSECONDS              : 117us:600ns
8937600 NANOSECONDS             : 8ms:937us:600ns
634569600 NANOSECONDS           : 634ms:569us:600ns
60284112000 NANOSECONDS         : 1m:00s:284ms:112us
421988784000 NANOSECONDS        : 7m:01s:988ms:784us
25319327040000 NANOSECONDS      : 7h:01m:59s:327ms:040us
2126823471360000 NANOSECONDS    : 24d:14h:47m:03s:471ms:360us
195667759365120000 NANOSECONDS  : 2264d:16h:09m:19s:365ms:120us
3 MICROSECONDS                  : 3us
270 MICROSECONDS                : 270us
13770 MICROSECONDS              : 13ms:770us
1115370 MICROSECONDS            : 1s:115ms:370us
41268690 MICROSECONDS           : 41s:268ms:690us
4003062930 MICROSECONDS         : 1h:06m:43s:062ms:930us
12009188790 MICROSECONDS        : 3h:20m:09s:188ms:790us
600459439500 MICROSECONDS       : 6d:22h:47m:39s:439ms:500us
17413323745500 MICROSECONDS     : 201d:13h:02m:03s:745ms:500us
1723919050804500 MICROSECONDS   : 19952d:18h:24m:10s:804ms:500us
112054738302292500 MICROSECONDS : 1296929d:20h:11m:42s:292ms:500us
8628214849276522500 MICROSECONDS: 99863597d:19h:01m:16s:522ms:500us
4 MILLISECONDS                  : 4ms
296 MILLISECONDS                : 296ms
27824 MILLISECONDS              : 27s:824ms
667776 MILLISECONDS             : 11m:07s:776ms
54757632 MILLISECONDS           : 15h:12m:37s:632ms
3668761344 MILLISECONDS         : 42d:11h:06m:01s:344ms
231131964672 MILLISECONDS       : 2675d:03h:19m:24s:672ms
7396222869504 MILLISECONDS      : 85604d:10h:21m:09s:504ms
51773560086528 MILLISECONDS     : 599231d:00h:28m:06s:528ms
1967395283288064 MILLISECONDS   : 22770778d:17h:48m:08s:064ms
190837342478942208 MILLISECONDS : 2208765537d:22h:49m:02s:208ms
8587680411552399360 MILLISECONDS: 99394449207d:18h:46m:39s:360ms
2 SECONDS                       : 2s
44 SECONDS                      : 44s
2112 SECONDS                    : 35m:12s
52800 SECONDS                   : 14h:40m
4224000 SECONDS                 : 48d:21h:20m
270336000 SECONDS               : 3128d:21h:20m
12165120000 SECONDS             : 140800d
462274560000 SECONDS            : 5350400d
14792785920000 SECONDS          : 171212800d
458576363520000 SECONDS         : 5307596800d
17884478177280000 SECONDS       : 206996275200d
1019415256104960000 SECONDS     : 11798787686400d
7 MINUTES                       : 7m
574 MINUTES                     : 9h:34m
10332 MINUTES                   : 7d:04h:12m
103320 MINUTES                  : 71d:18h
3926160 MINUTES                 : 2726d:12h
164898720 MINUTES               : 114513d
14016391200 MINUTES             : 9733605d
672786777600 MINUTES            : 467213040d
25565897548800 MINUTES          : 17754095520d
945938209305600 MINUTES         : 656901534240d
17026887767500800 MINUTES       : 11824227616320d
272430204280012800 MINUTES      : 189187641861120d
7 HOURS                         : 7h
469 HOURS                       : 19d:13h
